k,P_hyper,P_binom,P_sim,P_binom_minus_P_hyper,P_sim_minus_P_hyper
0,0.435964975511691,0.456703408953417,0.43809,0.0207384334417254,0.00212502448830848
1,0.41301945048476,0.382356342379605,0.41182,-0.0306631081051555,-0.00119945048476039
2,0.132378029001526,0.133380119434746,0.1313,0.00100209043322014,-0.00107802900152576
3,0.0176504038668701,0.0248149059413481,0.0178,0.00716450207447797,0.000149596133129898
4,0.000968619724401408,0.00259690876130387,0.00097,0.00162828903690246,1.38027559859206e-06
5,1.84498995124078e-05,0.00014494374481696,2e-05,0.000126493845304552,1.55010048759223e-06
6,7.15112384201852e-08,3.37078476318512e-06,0,3.29927352476493e-06,-7.15112384201852e-08
